"AirTemperature","Pressure","Humidity","WaterTemperature","WindSpeed"
29.9,1002.8,81.3,29.85,19.134
29.9,1002.6,81.4,29.86,18.4572
29.9,1002.5,80.1,29.88,19.0692
29.8,1002.4,79.4,29.88,17.6724
29.9,1002.2,81.4,29.9,17.2512
29.9,1002.1,82.9,29.91,16.452
29.9,1001.9,83.1,29.93,16.9056
29.8,1001.8,83.5,29.93,17.4312
29.8,1001.7,85,29.94,19.1952
29.7,1001.6,84.8,29.94,19.8252
29.8,1001.4,86.3,29.94,19.782
29.8,1001.3,85.6,29.95,19.7136
29.7,1001.2,86.9,29.95,19.1592
29.7,1001.3,86.6,29.95,19.0404
29.7,1001.2,85.3,29.95,19.5048
29.7,1001.2,85.2,29.95,21.4524
29.7,1001.2,85.7,29.95,20.0592
29.6,1001.2,86.1,29.95,19.332
29.6,1001.1,86.3,29.95,19.7604
29.6,1001,85.6,29.95,19.5804
29.7,1001,86.2,29.93,19.5984
29.6,1001.1,84.8,29.93,20.7252
29.6,1001.1,84.7,29.93,20.1996
29.6,1001.2,84.1,29.93,20.736
29.5,1001.2,85.1,29.94,21.3192
29.5,1001.2,85.6,29.93,21.0924
29.5,1001.1,87.1,29.91,21.42
29.6,1001.2,87.2,29.91,21.294
29.4,1001.3,87,29.88,22.3632
29.5,1001.4,87.3,29.84,23.3676
29.4,1001.6,87.2,29.81,23.8284
29.5,1001.7,88.2,29.81,22.6008
29.4,1001.6,87.6,29.79,22.176
29.5,1001.7,87.9,29.78,22.5684
29.5,1002,89.3,29.75,22.3092
29.5,1002.2,89.2,29.73,23.346
29.4,1002.3,88.4,29.69,23.0328
29.5,1002.4,87.9,29.69,23.85
29.5,1002.7,87.5,29.69,23.1192
29.4,1003,87.8,29.68,24.3
29.5,1003.1,88.2,29.54,25.578
29.4,1003,87.9,29.51,27.7308
29.5,1003.1,87.9,29.5,29.196
29.4,1003.5,87.6,29.52,28.0656
29.5,1003.5,87.9,29.53,27.6768
29.5,1003.6,87.2,29.55,28.0512
29.6,1003.7,88.2,29.55,29.916
29.5,1003.8,88.2,29.56,30.024
29.5,1003.8,88.6,29.56,29.988
29.4,1003.8,88.1,29.58,28.908
29.5,1003.9,88.4,29.59,30.06
29.4,1003.9,87.9,29.59,29.628
29.6,1004.1,88.3,29.59,28.0584
29.5,1004.1,87.2,29.61,28.944
29.6,1003.9,87.2,29.61,29.628
29.5,1003.9,86.7,29.62,29.916
29.5,1003.9,87.2,29.62,29.52
29.5,1003.9,87,29.63,27.5508
29.4,1003.9,87.3,29.64,27.7452
29.6,1003.9,87.2,29.65,26.2836
29.5,1004.1,87.5,29.65,28.5732
29.5,1003.9,86.9,29.65,29.736
29.5,1003.7,86.5,29.65,28.0728
29.5,1003.5,86.7,29.65,29.196
29.6,1003.5,87,29.64,27.846
29.5,1003.5,86.4,29.65,27.8028
29.6,1003.5,86.9,29.65,27.0648
29.5,1003.4,87.5,29.65,27.2376
29.3,1003.3,86.1,29.65,28.908
29.4,1003.1,86.6,29.65,29.448
29.5,1003.1,85.9,29.65,28.4256
29.3,1002.9,84.5,29.64,29.412
29.5,1002.7,84.9,29.62,30.096
29.6,1002.6,85.9,29.62,30.744
29.5,1002.6,86.9,29.63,32.148
29.5,1002.6,87.9,29.62,31.392
29.4,1002.6,87.5,29.62,30.528
29.4,1002.5,88.2,29.62,31.428
29.5,1002.6,89,29.62,29.592
29.4,1002.4,88.6,29.62,29.412
29.5,1002.4,89.1,29.63,26.6148
29.3,1002.3,88.1,29.63,28.5696
29.4,1002.4,88.1,29.62,28.7028
29.4,1002.3,87.2,29.63,28.368
29.4,1002.2,87.2,29.62,27.1296
29.4,1002.4,87.5,29.62,26.8344
29.3,1002.4,86.6,29.62,27.2556
29.6,1002.4,87.4,29.62,26.1756
29.3,1002.3,87.2,29.61,25.5132
29.4,1002.3,87.3,29.62,26.892
29.4,1002.3,87.5,29.61,25.8084
29.3,1002.3,88.2,29.61,26.2332
29.3,1002.4,88.1,29.61,25.254
29.3,1002.4,88.2,29.61,25.0848
29.3,1002.5,88.3,29.61,23.9256
29.2,1002.6,88.8,29.62,23.256
29.3,1002.7,88.1,29.63,23.5548
29.3,1002.8,89.3,29.64,24.5736
29.2,1002.9,88,29.64,24.6636
29.3,1002.9,88.7,29.62,24.9588
29.3,1003,89.3,29.61,24.282
29.3,1002.9,87.8,29.59,24.354
29.4,1003,88.4,29.57,22.8168
29.4,1003.1,88.3,29.56,23.8176
29.3,1003.3,87.2,29.53,24.516
29.4,1003.3,87.5,29.51,24.0264
29.5,1003.4,87.8,29.48,24.444
29.4,1003.5,87.7,29.48,25.974
29.4,1003.7,88.7,29.48,26.7732
29.4,1003.8,87.1,29.56,26.5896
29.4,1003.8,87.4,29.59,27.8352
29.5,1003.9,86.9,29.61,27.9936
29.6,1003.8,87.2,29.56,28.6488
29.5,1004.1,87.4,29.52,27.9684
29.5,1004.3,87.6,29.53,28.7316
29.5,1004.2,86.8,29.53,29.952
29.5,1004.3,87.1,29.53,30.564
29.5,1004.3,87.3,29.56,29.16
29.5,1004.4,86.9,29.56,27.0432
29.6,1004.5,87,29.56,27.72
29.6,1004.6,86.9,29.55,26.3916
29.5,1004.7,86.5,29.55,27.126
29.6,1004.6,87.4,29.55,25.236
29.5,1004.7,87.1,29.59,26.5356
29.5,1004.6,86.5,29.66,26.6976
29.6,1004.6,87.7,29.69,25.7256
29.5,1004.6,87.3,29.71,26.0676
29.6,1004.5,87.5,29.72,25.3584
29.5,1004.3,87.1,29.75,26.6364
29.6,1004.3,87.6,29.78,26.0388
29.6,1004.2,87.5,29.77,26.1288
29.6,1004,86.7,29.79,28.152
29.6,1003.9,86.5,29.82,27.9972
29.7,1004.1,86.8,29.81,27.9972
29.7,1003.9,87.6,29.85,26.7768
29.6,1003.7,87.1,29.85,26.6796
29.6,1003.6,86.9,29.85,26.4528
29.6,1003.5,87.3,29.86,25.7976
29.6,1003.3,87.7,29.88,25.362
29.6,1003.2,87.2,29.88,25.5852
29.6,1003.1,86.9,29.91,25.8912
29.6,1003,86.7,29.92,25.0956
29.5,1002.9,85.3,29.92,24.9588
29.6,1002.9,84.1,29.92,25.7364
29.7,1002.8,84.7,29.92,26.2044
29.7,1002.6,86,29.94,26.046
29.6,1002.5,85.5,29.94,26.1252
29.7,1002.5,86.1,29.95,26.8956
29.6,1002.4,86.6,29.95,25.83
29.7,1002.3,87.1,29.96,26.2584
29.7,1002.2,87.8,29.97,24.2424
29.6,1002.1,87.4,29.98,23.9832
29.6,1002,86.1,29.99,24.4224
29.7,1001.8,85.1,29.99,22.9176
29.7,1001.8,85.5,29.99,23.3964
29.7,1001.8,85.8,30,23.1624
29.6,1001.8,85.4,30,23.1768
29.7,1001.8,84.3,30.01,23.3964
29.8,1001.7,85.1,29.99,23.3928
29.7,1001.7,85.4,30,24.3468
29.7,1001.6,84.9,30.01,25.4016
29.7,1001.4,83.9,30,24.2028
29.7,1001.5,85,29.99,25.5996
29.6,1001.5,84.1,30.01,25.6212
29.8,1001.5,83.3,30.01,26.7804
29.7,1001.6,84.4,30,26.7084
29.8,1001.6,86.3,30,25.6896
29.7,1001.7,86.2,30,25.02
29.7,1001.8,87.2,30,26.568
29.6,1001.7,86.5,30,28.2672
29.7,1001.8,86.5,30,30.06
29.7,1001.9,85.3,29.99,30.456
29.7,1002,86.2,29.94,29.592
29.6,1002,86.8,29.9,31.104
29.6,1002.1,86.6,29.87,30.456
29.6,1002.2,86.3,29.84,30.636
29.6,1002.3,86.6,29.72,30.672
29.6,1002.3,86,29.67,31.5
29.7,1002.4,86.3,29.67,31.176
29.7,1002.4,87.4,29.69,29.952
29.6,1002.6,88,29.71,29.052
29.6,1002.6,87.9,29.72,29.916
29.6,1002.8,87.1,29.7,30.276
29.6,1002.8,86.8,29.69,30.852
29.6,1002.9,87.9,29.64,30.492
29.6,1003,87.8,29.64,30.276
29.5,1003.1,87.1,29.63,32.292
29.7,1003.2,88.9,29.59,32.112
29.6,1003.4,88.7,29.48,33.444
29.5,1003.4,88.2,29.3,34.128
29.5,1003.7,88.5,29.04,34.884
29.5,1003.7,88.1,28.71,34.308
29.5,1003.8,87.3,28.47,33.588
29.4,1003.9,87.4,28.36,33.336
29.5,1004,87.1,28.35,37.296
29.6,1004,87,28.34,36.756
29.6,1004.1,87.7,28.43,37.728
29.5,1004.2,86.8,28.66,39.06
29.6,1004.2,86.3,28.81,37.584
29.5,1004.3,86.8,28.91,37.476
29.4,1004.3,87.5,28.97,38.016
29.6,1004.5,87.6,29,37.8
29.4,1004.3,87.6,29.06,36.396
29.5,1004.3,87.6,29.14,37.44
29.4,1004,86.7,29.19,38.988
29.5,1003.9,87.8,29.25,37.656
29.3,1003.9,86.1,29.31,36.216
29.4,1003.9,86.4,29.41,36.036
29.4,1003.8,86.1,29.44,37.728
29.4,1003.7,86.9,29.42,35.136
29.3,1003.7,88.2,29.44,34.38
29.3,1003.6,87.1,29.48,38.16
29.4,1003.4,86.2,29.51,39.204
29.3,1003.4,86.4,29.53,39.06
29.4,1003.3,86.3,29.55,38.484
29.3,1003.3,86.5,29.56,37.044
29.3,1003.2,85.7,29.55,36.612
29.3,1003.1,85.9,29.55,37.044
29.3,1003.1,86.7,29.55,35.352
29.3,1002.9,87,29.55,33.516
29.2,1002.8,86.1,29.55,35.712
29.3,1002.7,85.8,29.55,35.28
29.3,1002.7,86.6,29.55,36.036
29.2,1002.6,86,29.55,34.308
29.2,1002.6,85.9,29.55,35.64
29.2,1002.6,85.7,29.55,36.144
29.3,1002.6,86.7,29.55,33.408
29.2,1002.5,85.9,29.53,36.432
29.2,1002.4,86.5,29.54,34.308
29.3,1002.5,86.6,29.53,33.804
29.3,1002.6,86.8,29.53,35.64
29.2,1002.6,86.9,29.51,33.264
29.3,1002.7,86.2,29.51,34.884
29.3,1002.8,86.4,29.52,32.616
29.3,1002.9,86.8,29.52,30.816
29.3,1003,86.6,29.51,31.788
29.2,1003,87,29.5,31.68
29.3,1003.1,87.5,29.5,31.536
29.3,1003.2,88.1,29.5,32.22
29.2,1003.2,85.7,29.5,34.092
29.3,1003.4,86.1,29.5,32.508
29.3,1003.5,85.5,29.51,32.076
29.3,1003.6,86.1,29.51,31.248
29.2,1003.7,85,29.53,32.436
29.4,1003.9,85.7,29.53,29.448
29.3,1003.9,86.3,29.53,28.98
29.4,1004.1,86.8,29.54,28.872
29.3,1004.1,85.9,29.55,30.096
29.4,1004.2,85.9,29.55,31.176
29.4,1004.3,87.2,29.54,29.916
29.4,1004.5,88.1,29.53,29.448
29.4,1004.6,88.7,29.53,29.052
29.4,1004.6,86.8,29.53,30.708
29.5,1004.6,87.7,29.53,31.176
29.4,1004.6,87,29.53,30.528
29.5,1004.8,86.7,29.52,31.428
29.4,1004.8,86.4,29.49,30.744
29.5,1004.9,86.1,29.47,31.356
29.5,1005.1,87,29.46,28.206
29.5,1005.1,87.2,29.44,29.052
29.4,1005.2,86.6,29.41,31.464
29.5,1005.3,87.1,29.38,30.492
29.5,1005.3,86.1,29.25,30.024
29.6,1005.3,86.7,29.16,29.484
29.4,1005.3,86.4,29.19,29.592
29.5,1005.3,86.4,29.23,30.312
29.5,1005.4,86.7,29.25,32.04
29.5,1005.3,86.7,29.31,30.132
29.6,1005.4,86.5,29.35,31.068
29.6,1005.3,87.3,29.38,30.708
29.6,1005.3,87,29.41,32.148
29.5,1005.3,86,29.42,31.032
29.8,1005.4,85,29.44,33.228
29.7,1005.3,83,29.47,31.248
29.8,1005.2,84.9,29.49,31.86
29.7,1005.2,85.1,29.53,30.744
29.7,1005.1,85.5,29.53,29.556
29.6,1004.9,85,29.57,30.024
29.6,1004.9,85.3,29.57,30.924
29.6,1004.7,85.5,29.57,30.528
29.6,1004.6,85.5,29.58,30.312
29.6,1004.5,85,29.6,30.564
29.6,1004.4,85.4,29.6,29.412
29.6,1004.3,85.3,29.61,28.4364
29.6,1004.1,84.1,29.61,29.16
29.7,1003.9,84.3,29.62,29.844
29.7,1003.8,84.2,29.63,29.664
29.6,1003.6,84.8,29.63,28.2348
29.7,1003.5,84.8,29.66,29.268
29.6,1003.4,84.4,29.64,29.808
29.8,1003.3,83.5,29.65,28.6128
29.7,1003.2,85.2,29.66,28.7532
29.8,1003.2,86.8,29.66,27.414
29.6,1003.1,86.3,29.68,26.0388
29.7,1003,86.6,29.69,25.884
29.7,1002.9,85.5,29.69,26.6904
29.6,1002.8,85.5,29.69,26.8668
29.6,1002.6,85.1,29.7,28.872
29.7,1002.6,85.9,29.73,28.1952
29.7,1002.5,86.4,29.72,27.2448
29.7,1002.5,85.9,29.72,26.4852
29.6,1002.4,85,29.74,28.3032
29.7,1002.4,84.4,29.74,27.8784
29.7,1002.3,85.2,29.74,28.2348
29.7,1002.3,86.1,29.75,28.0908
29.6,1002.1,85.4,29.75,27.3312
29.7,1002,86.3,29.74,26.8848
29.6,1001.8,86.1,29.73,27.5112
29.5,1001.9,85.4,29.73,29.088
29.6,1001.8,86.3,29.73,29.52
29.6,1001.9,85.3,29.73,31.356
29.6,1001.9,85.4,29.73,30.96
29.7,1002,85,29.73,32.04
29.7,1002,84.1,29.73,32.976
29.7,1002,84.1,29.72,33.948
29.7,1002,83,29.72,32.904
29.7,1002,81.9,29.72,34.956
29.8,1002,82.9,29.72,35.496
29.7,1002.1,84.4,29.72,33.84
29.7,1002.2,84.7,29.72,33.516
29.7,1002.3,84.5,29.72,33.66
29.8,1002.4,83.1,29.72,34.38
29.8,1002.4,84.2,29.69,34.92
29.7,1002.6,83.5,29.69,35.532
29.7,1002.6,83,29.68,35.928
29.7,1002.9,83.8,29.66,36
29.8,1002.9,82.3,29.65,38.124
29.9,1003,83.8,29.65,38.988
29.7,1003.1,83.4,29.62,37.116
29.7,1003.2,84,29.62,36.396
29.6,1003.3,83.1,29.61,36.612
29.7,1003.5,83.4,29.59,38.448
29.7,1003.6,83.5,29.56,38.016
29.7,1003.7,83.5,29.54,37.908
29.7,1003.8,84.1,29.53,37.908
29.6,1004,85.2,29.52,38.484
29.6,1004.1,85.7,29.5,39.636
29.5,1004.2,85.1,29.5,38.916
29.6,1004.3,85.4,29.5,38.628
29.6,1004.2,85.1,29.51,41.004
29.6,1004.2,85.9,29.5,41.22
29.6,1004.2,85.9,29.5,41.616
29.5,1004.3,86.8,29.5,41.652
29.5,1004.3,86.6,29.5,40.32
29.5,1004.3,86.2,29.5,41.76
29.6,1004.3,87,29.5,39.564
29.4,1004.3,86.7,29.5,36.684
29.6,1004.4,85.7,29.5,37.584
29.6,1004.5,85.4,29.49,38.232
29.5,1004.4,86.1,29.48,37.008
29.6,1004.4,85.8,29.48,40.068
29.5,1004.5,86.2,29.48,38.808
29.5,1004.5,86,29.48,38.412
29.5,1004.3,86,29.48,36.612
29.5,1004.3,84.9,29.48,38.484
29.5,1004.1,85.4,29.48,39.024
29.4,1003.9,85.4,29.48,35.64
29.4,1003.6,85.2,29.48,38.772
29.5,1003.6,86.1,29.48,38.628
29.5,1003.6,85.3,29.48,40.032
29.5,1003.5,85,29.48,37.26
29.4,1003.5,85.2,29.48,37.188
29.5,1003.4,86.3,29.47,35.316
29.4,1003.3,85.6,29.47,37.872
29.4,1003.3,86.1,29.48,37.188
29.4,1003.1,86.3,29.48,36.972
29.3,1002.9,86.5,29.48,37.98
29.3,1002.8,86.3,29.48,37.044
29.3,1002.8,87,29.48,35.568
29.3,1002.6,85.9,29.48,36.828
29.3,1002.5,85.8,29.47,36.576
29.4,1002.4,85.6,29.47,38.124
29.4,1002.4,85.9,29.47,38.88
29.4,1002.6,86.5,29.47,39.096
29.4,1002.6,87,29.48,38.124
29.4,1002.8,87.6,29.47,36.936
29.3,1002.6,88.1,29.47,34.524
29.2,1002.6,87.4,29.47,36.072
29.3,1002.6,87.2,29.47,36.936
29.4,1002.6,87.5,29.46,37.404
29.3,1002.6,86.8,29.46,39.132
29.4,1002.6,87.2,29.45,40.212
29.4,1002.6,87,29.46,38.988
29.3,1002.8,87.8,29.46,37.908
29.4,1002.9,87.5,29.45,36.432
29.4,1003.1,88.6,29.44,36
29.4,1003.2,88.5,29.44,36.108
29.3,1003.2,87.7,29.44,36.504
29.4,1003.4,87.5,29.44,37.224
29.4,1003.5,87.4,29.47,38.232
29.4,1003.7,87.7,29.47,36.504
29.5,1003.7,88.1,29.48,36.36
29.5,1003.8,86.8,29.49,39.528
29.6,1003.9,86.8,29.5,40.86
29.5,1003.9,87,29.53,38.88
29.5,1004,86.5,29.56,39.924
29.6,1004.2,87,29.56,39.312
29.6,1004.3,86.3,29.58,40.608
29.5,1004.3,86.9,29.59,39.276
29.6,1004.5,86.8,29.57,38.664
29.6,1004.6,87.2,29.53,38.196
29.6,1004.7,87.4,29.51,36.144
29.5,1004.6,86.4,29.5,36.288
29.6,1004.7,87.5,29.47,37.188
29.6,1004.7,88.2,29.47,36.216
29.6,1004.7,87.4,29.44,37.44
29.6,1004.7,87.2,29.43,35.964
29.6,1004.8,87,29.41,37.332
29.7,1004.8,87.9,29.41,36
29.6,1004.8,87.9,29.42,33.804
29.6,1004.9,87.3,29.44,36.18
29.6,1004.9,88,29.42,34.056
29.6,1004.9,87.8,29.44,34.848
29.6,1004.9,87.9,29.47,35.316
29.7,1004.9,88.6,29.48,32.256
29.6,1004.9,87.9,29.5,33.66
29.7,1004.7,88.4,29.48,32.292
29.7,1004.7,88.8,29.41,32.544
29.6,1004.9,89.1,29.43,33.48
29.7,1004.8,88.5,29.47,32.436
29.6,1004.7,88.9,29.49,33.012
29.7,1004.6,89.3,29.53,31.104
29.6,1004.5,88.5,29.55,34.02
29.7,1004.4,87.8,29.57,34.416
29.7,1004.3,88.1,29.6,34.632
29.7,1004.1,88.4,29.63,34.056
29.7,1003.9,88,29.66,34.236
29.7,1003.9,87.6,29.69,33.336
29.6,1003.7,87.8,29.69,33.984
29.7,1003.6,87.6,29.7,32.292
29.6,1003.4,87.5,29.72,32.184
29.7,1003.3,87.2,29.72,31.932
29.7,1003.1,87.5,29.71,31.716
29.7,1003,87.2,29.71,32.328
29.6,1002.8,87.9,29.7,32.904
29.7,1002.6,87.8,29.69,30.78
29.7,1002.5,87.5,29.7,32.976
29.6,1002.4,87.8,29.69,33.048
29.6,1002.3,87.7,29.71,33.012
29.6,1002.3,87.6,29.72,33.444
29.6,1002.3,88.6,29.72,31.248
29.7,1002.2,88.2,29.72,31.536
29.7,1002.1,87.7,29.73,29.772
29.8,1002,87.4,29.73,29.232
29.7,1001.8,85.2,29.74,30.96
29.8,1001.8,85.7,29.74,30.024
29.8,1001.7,86.7,29.75,28.944
29.7,1001.6,85.5,29.75,29.34
29.9,1001.4,86.9,29.76,29.808
29.7,1001.4,86.8,29.79,30.672
29.8,1001.5,86.3,29.79,28.8
29.8,1001.5,86.3,29.8,29.88
29.7,1001.4,87,29.81,30.384
29.8,1001.3,87.3,29.82,30.492
29.7,1001.3,87.2,29.82,32.976
29.7,1001.3,87.2,29.82,33.804
29.6,1001.3,88.3,29.8,32.832
29.7,1001.4,88.7,29.78,33.588
29.6,1001.5,88.3,29.76,33.948
29.7,1001.4,88,29.75,34.308
29.7,1001.6,88.3,29.74,32.976
29.7,1001.6,86.6,29.74,32.616
29.7,1001.6,86.6,29.73,33.984
29.7,1001.7,87,29.72,34.74
29.7,1001.8,87.3,29.72,31.068
29.6,1001.8,87.2,29.7,34.092
29.6,1001.8,88.4,29.69,32.904
29.7,1002,88,29.69,33.336
29.6,1002.1,88,29.67,30.744
29.6,1002.2,88.4,29.66,29.196
29.7,1002.2,88.4,29.65,32.94
29.7,1002.3,88.9,29.65,31.86
29.6,1002.3,88.1,29.64,31.68
29.7,1002.3,88.6,29.63,33.552
29.6,1002.5,89.2,29.59,33.228
29.6,1002.6,90.1,29.05,33.336
29.5,1002.6,90.3,28.61,34.272
29.4,1002.5,90.9,28.6,34.344
29.5,1002.6,91,28.84,34.992
29.4,1002.7,90.2,29.06,36.216
29.3,1002.8,89.8,29.16,37.44
29.4,1003,90.3,29.25,37.116
29.4,1003.2,89.7,29.33,37.404
29.4,1003.3,88.8,29.39,35.892
29.3,1003.5,89.4,29.44,36.72
29.5,1003.7,89.5,29.47,36.648
29.4,1003.8,88.3,29.47,38.484
29.5,1003.9,87.2,29.49,37.512
29.5,1003.8,88.5,29.48,36.108
29.6,1003.8,88.4,29.47,35.388
29.5,1003.8,88.7,29.48,37.008
29.5,1003.8,88.1,29.47,34.056
29.5,1003.6,88.5,29.45,36.144
29.5,1003.6,88.7,29.45,35.892
29.6,1003.7,88.7,29.47,32.328
29.6,1003.5,88.7,29.47,33.084
29.5,1003.4,88.6,29.47,33.372
29.5,1003.3,88.8,29.47,30.852
29.4,1003.3,88.2,29.47,32.112
29.5,1003.3,88.4,29.47,31.212
29.5,1003.2,89.2,29.47,30.42
29.5,1003.2,89.8,29.47,30.672
29.5,1003.1,89.6,29.47,30.312
29.5,1003,88.8,29.47,31.248
29.4,1002.9,89.4,29.47,29.34
29.4,1002.6,88.5,29.47,30.816
29.4,1002.5,87.9,29.47,31.716
29.5,1002.4,88.1,29.44,29.304
29.4,1002.3,88.3,29.42,30.096
29.5,1002.2,89.2,29.42,30.888
29.3,1002.2,88.5,29.44,30.348
29.4,1002.3,88.1,29.44,30.996
29.5,1002.3,87.4,29.45,29.196
29.5,1002.3,88.3,29.47,26.802
29.4,1002.2,88.3,29.47,27.1944
29.4,1002.1,88.2,29.47,27.8136
29.4,1002,88.3,29.47,30.312
29.5,1002,89.1,29.47,31.968
29.4,1002.1,88.1,29.47,28.7964
29.4,1002,88,29.47,30.636
29.5,1001.9,88.4,29.47,33.516
29.4,1002,87.2,29.47,32.688
29.4,1002.1,89.2,29.47,31.752
29.4,1002,89.8,29.48,31.068
29.4,1002.1,88.9,29.48,33.552
29.4,1002.1,88.7,29.5,31.284
29.4,1002.3,88.7,29.5,31.608
29.5,1002.4,88.9,29.5,31.068
29.4,1002.5,88.8,29.52,31.716
29.5,1002.5,90.2,29.53,29.664
29.4,1002.4,89.5,29.54,30.492
29.4,1002.4,88.9,29.55,31.68
29.4,1002.4,88.7,29.56,32.724
29.5,1002.5,88.8,29.57,34.452
29.5,1002.6,88.4,29.56,33.84
29.6,1002.6,88.9,29.59,33.696
29.5,1002.4,88.3,29.61,34.776
29.6,1002.8,88.3,29.62,34.956
29.7,1002.9,88,29.66,33.3
29.6,1003,87.7,29.69,34.308
29.6,1003.2,87.7,29.69,34.524
29.6,1003.1,87.2,29.72,37.476
29.6,1003.2,88.1,29.72,37.764
29.6,1003.5,88.2,29.74,36.936
29.6,1003.7,88,29.75,37.476
29.6,1003.9,86.8,29.75,37.764
29.6,1003.9,86.8,29.75,35.784
29.6,1004,87.4,29.74,36.396
29.7,1004,86.7,29.73,36.468
29.7,1004.2,87.4,29.72,36.288
29.6,1004.1,86.4,29.66,35.136
29.6,1004.1,86.8,29.61,35.748
29.7,1004.2,86.7,29.59,36.9
29.7,1004.2,86.8,29.59,34.74
29.6,1004.1,87,29.49,34.56
29.7,1004.3,86.6,28.79,33.84
29.6,1004.3,86.2,27.98,35.136
29.8,1004.3,86.7,27.67,31.788
29.6,1004.3,86.7,27.52,31.752
29.6,1004.1,86.6,27.45,33.66
29.7,1003.9,86.6,27.47,32.796
29.7,1003.9,87,27.67,31.752
29.6,1004.1,87.5,28.15,32.868
29.7,1004.1,87.2,28.41,32.652
29.7,1003.9,87.5,28.54,32.22
29.7,1003.8,87.5,28.76,33.804
29.7,1003.8,87.7,28.86,31.68
29.7,1003.7,87.9,28.94,32.4
29.7,1003.5,87.7,29.07,32.868
29.7,1003.4,88.2,29.16,32.04
29.7,1003.3,87.7,29.25,33.732
29.7,1003.3,87.8,29.35,33.876
29.7,1003.2,87.6,29.38,31.86
29.7,1003,88,29.44,32.004
29.7,1002.9,87.7,29.49,31.716
29.7,1002.7,87.5,29.56,32.472
29.8,1002.6,88.1,29.63,33.012
29.7,1002.3,86.6,29.68,32.436
29.7,1002.2,86.4,29.72,33.408
29.7,1002.3,86,29.75,33.084
29.8,1002.3,87,29.78,32.328
29.8,1002.2,85.5,29.8,33.876
29.8,1002,85.5,29.81,34.128
29.8,1001.9,86.9,29.83,31.968
29.7,1001.8,85.8,29.84,34.668
